,C,I,G,NX,GDP_proxy
2019-03-01,1187.3833333333334,320.8975,303.2954166666667,-5.999083333333333,1805.5771666666667
2019-04-01,1190.8333333333333,325.333,308.88541666666663,-6.20275,1818.8490000000002
2019-05-01,1196.1083333333333,325.333,308.88541666666663,-6.380499999999998,1823.9462500000002
2019-06-01,1200.7250000000001,325.333,308.88541666666663,-6.1910833333333315,1828.7523333333336
2019-07-01,1208.0,328.29991666666666,313.1839166666667,-6.115083333333333,1843.3687499999999
2019-08-01,1213.1833333333334,328.29991666666666,313.1839166666667,-6.151916666666665,1848.51525
2019-09-01,1215.8833333333334,328.29991666666666,313.1839166666667,-5.788166666666667,1851.579
2019-10-01,1218.1166666666666,323.3808333333333,316.90250000000003,-5.598916666666668,1852.8010833333335
2019-11-01,1225.9166666666667,323.3808333333333,316.90250000000003,-5.374333333333334,1860.8256666666668
2019-12-01,1231.2333333333333,323.3808333333333,316.90250000000003,-5.710833333333333,1865.8058333333336
2020-01-01,1237.0249999999999,316.8330833333333,322.9909166666667,-5.606083333333334,1871.2429166666664
2020-02-01,1236.1499999999999,316.8330833333333,322.9909166666667,-5.210083333333332,1870.7639166666663
2020-03-01,1150.875,316.8330833333333,322.9909166666667,-5.459083333333334,1785.2399166666667
2020-04-01,1019.5333333333333,272.52983333333333,329.4089166666667,-6.241750000000001,1615.2303333333334
2020-05-01,1104.3083333333334,272.52983333333333,329.4089166666667,-6.391833333333334,1699.85525
2020-06-01,1170.0666666666666,272.52983333333333,329.4089166666667,-5.977500000000001,1766.0279166666667
2020-07-01,1191.9833333333333,325.11225,326.8735,-6.714166666666667,1837.2549166666665
2020-08-01,1204.575,325.11225,326.8735,-6.932,1849.6287499999999
2020-09-01,1222.95,325.11225,326.8735,-6.530333333333333,1868.4054166666665
2020-10-01,1227.1666666666667,337.19575000000003,328.11516666666665,-6.856750000000002,1885.6208333333336
2020-11-01,1225.4083333333333,337.19575000000003,328.11516666666665,-7.1800000000000015,1883.53925
2020-12-01,1235.6083333333333,337.19575000000003,328.11516666666665,-6.9736666666666665,1893.9455833333334
2021-01-01,1256.7916666666667,337.12475,336.7403333333333,-7.106250000000001,1923.5505
2021-02-01,1248.7,337.12475,336.7403333333333,-7.312666666666665,1915.2524166666667
2021-03-01,1309.3666666666666,337.12475,336.7403333333333,-7.286833333333332,1975.9449166666666
