,nominal_gdp,money_supply,money_growth,nominal_gdp_growth,velocity,velocity_growth,qtm_inflation,regime
2017-02-01,1645.7563333333335,13367.3,0.06273552654592862,0.0374514922770075,1.4774169802428316,-0.023791464232967297,0.018944062312961325,Low
2017-03-01,1649.9261666666666,13428.7,0.06332251167946801,0.040715287241074316,1.4743879899022243,-0.02126092901267229,0.022061582666795716,Moderate
2017-04-01,1659.0215833333336,13484.7,0.06111898016997164,0.041632964983683296,1.476359058785142,-0.01836364776282373,0.022755332407147905,Moderate
2017-05-01,1659.3484166666667,13536.7,0.059624266144814086,0.03971891711481246,1.470977490821249,-0.01878528990509276,0.020838976239721325,Moderate
2017-06-01,1663.8893333333333,13558.5,0.056336382192997414,0.03848836218067708,1.4726313382748828,-0.016896151939088888,0.019440230253908525,Low
2017-07-01,1674.6149166666664,13615.4,0.056300767279300334,0.041755326952591876,1.4759301232427984,-0.013770169233307428,0.022530598045992906,Moderate
2017-08-01,1677.32075,13674.6,0.05400843231410768,0.04168796325910851,1.4719150103110878,-0.01168915606106602,0.02231927625304166,Moderate
2017-09-01,1687.4901666666667,13723.0,0.05284559083027718,0.044729705181750345,1.4756162646651607,-0.007708524136123995,0.025137066694153182,Moderate
2017-10-01,1700.89675,13782.3,0.05148197596795723,0.04575009123714091,1.480940118848088,-0.005451243922217297,0.02603073204573993,Moderate
2017-11-01,1708.3909166666667,13814.9,0.048091950534860706,0.04925035636203279,1.4839550774887982,0.0011052520979486502,0.029197202632809355,Moderate
2017-12-01,1718.7155833333334,13873.8,0.04897135209925829,0.049349837804153474,1.4865852902593377,0.0003608160548311812,0.029332168154089473,Moderate
2018-01-01,1730.5057499999998,13883.2,0.043794687497650475,0.05296247772616014,1.495769635242595,0.008783135551770238,0.03257782304942071,Moderate
2018-02-01,1733.3736666666668,13919.3,0.041294801493195976,0.05323833884684026,1.494362791232318,0.011469890502206814,0.03276469199540279,Moderate
2018-03-01,1738.3121666666666,13976.0,0.04075599276177133,0.05356966983472078,1.4925404979965655,0.012311893625466253,0.03306788638723758,Moderate
2018-04-01,1747.3643333333334,13993.9,0.037761314675150315,0.053249909999663725,1.498393728696075,0.01492500742269609,0.0326863220978464,Moderate
2018-05-01,1753.288833333333,14049.6,0.037889589043119676,0.05661283412399665,1.4975135235166834,0.018039727229693714,0.035929316272813386,Moderate
2018-06-01,1755.1769166666666,14109.9,0.04066821551056532,0.05486397532848741,1.492719508997229,0.01364100450685668,0.034309220017421996,Moderate
2018-07-01,1772.9256666666668,14144.2,0.03883837419392755,0.05870648172398263,1.504157746638198,0.019125311524491373,0.03796368571841892,Moderate
2018-08-01,1776.1514999999997,14193.9,0.037975516651309604,0.058921795369192065,1.5016181599137655,0.02017993525074524,0.03815545190205484,Moderate
2018-09-01,1776.424083333333,14229.3,0.03689426510238292,0.05270188734926928,1.4981122753754574,0.01524516315588409,0.032139428258267,Moderate
2018-10-01,1784.1203333333333,14241.4,0.033310840715990775,0.04892923884611644,1.5033243922648054,0.015114907842545655,0.02842574855853643,Moderate
2018-11-01,1791.0549999999998,14260.8,0.032276744674228475,0.04838710070797103,1.5071146078761357,0.015606624983910411,0.027883369658138885,Moderate
2018-12-01,1781.3060833333332,14382.6,0.03667344202741862,0.03641702013233039,1.4862175823564583,-0.000247350693760251,0.016426091333658372,Low
2019-01-01,1791.9098333333336,14446.1,0.04054540739887047,0.03548331655837256,1.4884929496542323,-0.004864843767992788,0.01568056363087768,Low
2019-02-01,1794.7171666666666,14481.2,0.04036840933092911,0.03538965727912857,1.4872114189431813,-0.004785566350483994,0.015582842980445117,Low
2019-03-01,1805.5771666666667,14526.2,0.03936748712077853,0.03869558143229557,1.4915756357478211,-0.0006464563273421708,0.01872103079343636,Low
2019-04-01,1818.8490000000002,14554.5,0.04006031199308269,0.04090999530149508,1.4996178501494384,0.0008169558040187486,0.020877267797101435,Moderate
2019-05-01,1823.9462500000002,14652.4,0.04290513608928359,0.040299929665515544,1.4937726925281867,-0.0024980281845549124,0.020407107904728678,Moderate
2019-06-01,1828.7523333333336,14771.4,0.04688197648459602,0.04191908859330118,1.4856430670078666,-0.004740637438386597,0.022141339046209425,Moderate
2019-07-01,1843.3687499999999,14853.5,0.05014776374768459,0.039732677267725114,1.4892399097855724,-0.009917734284164648,0.020230029463519945,Moderate
2019-08-01,1848.51525,14934.7,0.05219143434855833,0.040741879282257365,1.485278110708618,-0.010881627328005905,0.021309807020552424,Moderate
2019-09-01,1851.579,15031.4,0.05636960356447607,0.042306855312186586,1.4781688997698152,-0.013312337088115744,0.023057266476360323,Moderate
2019-10-01,1852.8010833333335,15167.3,0.06501467552347373,0.038495581669472756,1.4658912924515242,-0.024900214488562278,0.020114461034911452,Moderate
2019-11-01,1860.8256666666668,15276.9,0.07125126220127909,0.038955066520384385,1.4616779582245092,-0.030148105136912573,0.021103157064366513,Moderate
2019-12-01,1865.8058333333336,15348.0,0.06712277335113259,0.04743696256955299,1.458800495178525,-0.018447559431010396,0.028675213920122195,Moderate
2020-01-01,1871.2429166666664,15416.8,0.06719460615667883,0.04427292147047179,1.4565224300762802,-0.021478448779605253,0.025716157377073574,Moderate
2020-02-01,1870.7639166666663,15467.0,0.06807446896666014,0.04237255396695261,1.4514234822525374,-0.024063785575338725,0.024010683391321414,Moderate
