Date,QTM_Inflation,CPI_Inflation,Difference,Abs_Diff,Year,Quarter
2020-11,3.7097695228341623,1.1757452138405844,2.534024308993578,2.534024308993578,2020,Q4
2020-12,4.088895839135011,1.3204191315779434,2.7684767075570678,2.7684767075570678,2020,Q4
2021-01,5.434837097942992,1.3553199782346148,4.0795171197083775,4.0795171197083775,2021,Q1
2021-02,5.503571692113519,1.667502410800381,3.8360692813131383,3.8360692813131383,2021,Q1
2021-03,11.244340616366223,2.623645747764214,8.620694868602008,8.620694868602008,2021,Q1
2021-04,20.53775107439691,4.137373453318349,16.400377621078558,16.400377621078558,2021,Q2
2021-05,14.94456274570897,4.9264665639830785,10.018096181725891,10.018096181725891,2021,Q2
2021-06,11.862306751809639,5.317418943207719,6.54488780860192,6.54488780860192,2021,Q2
2021-07,9.087103121075526,5.269167647240969,3.817935473834557,3.817935473834557,2021,Q3
2021-08,9.163881151493149,5.181323173271246,3.9825579782219025,3.9825579782219025,2021,Q3
2021-09,8.437495728803182,5.363523425270289,3.0739723035328925,3.0739723035328925,2021,Q3
2021-10,10.042457539780504,6.226591220771449,3.8158663190090545,3.8158663190090545,2021,Q4
2021-11,10.654249586615851,6.865559520296194,3.788690066319657,3.788690066319657,2021,Q4
2021-12,10.312111628779698,7.159457345112474,3.152654283667224,3.152654283667224,2021,Q4
2022-01,9.938779763143259,7.578082463000535,2.360697300142724,2.360697300142724,2022,Q1
2022-02,10.76624256694956,7.949220898953979,2.81702166799558,2.81702166799558,2022,Q1
2022-03,8.371415497642422,8.540780148538584,-0.1693646508961617,0.1693646508961617,2022,Q1
2022-04,8.320452897395116,8.235161744022502,0.08529115337261395,0.08529115337261395,2022,Q2
2022-05,8.416556648872998,8.530051713089225,-0.11349506421622735,0.11349506421622735,2022,Q2
2022-06,8.127211088835097,8.999298141923106,-0.8720870530880092,0.8720870530880092,2022,Q2
2022-07,7.055643083876652,8.447778206754553,-1.3921351228779004,1.3921351228779004,2022,Q3
2022-08,6.960585461746917,8.216255059541266,-1.2556695977943493,1.2556695977943493,2022,Q3
2022-09,6.981750684915268,8.205751582451759,-1.2240008975364907,1.2240008975364907,2022,Q3
2022-10,5.394596581911639,7.757261470809462,-2.3626648888978234,2.3626648888978234,2022,Q4
2022-11,4.9101460474373155,7.131380368978291,-2.221234321540975,2.221234321540975,2022,Q4
2022-12,4.909807109287058,6.410831677385809,-1.5010245680987504,1.5010245680987504,2022,Q4
2023-01,4.861917203775813,6.340296309929161,-1.4783791061533478,1.4783791061533478,2023,Q1
2023-02,4.642137555620153,5.957648712766894,-1.3155111571467408,1.3155111571467408,2023,Q1
2023-03,3.882075449389767,4.931348641757127,-1.0492731923673602,1.0492731923673602,2023,Q1
2023-04,3.888862973015951,4.946947488062325,-1.0580845150463745,1.0580845150463745,2023,Q2
2023-05,3.6420026326561175,4.125314539356473,-0.4833119067003553,0.4833119067003553,2023,Q2
2023-06,3.1410698170186504,3.0592533347792994,0.08181648223935101,0.08181648223935101,2023,Q2
